Input File: 0308-01.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00   8.291222e-05  -9.598704e-08   8.291228e-05  -6.633098e-02 
  2.000000e+00   5.718095e-05  -6.121817e-06   5.750772e-05  -6.110834e+00 
  4.000000e+00   1.647476e-05  -5.431744e-06   1.734709e-05  -1.824743e+01 
  6.000000e+00  -2.057896e-06  -7.092569e-06   7.385085e-06  -1.061800e+02 
  8.000000e+00  -5.307344e-06  -1.127673e-05   1.246325e-05  -1.152038e+02 
  1.000000e+01  -2.196286e-06  -1.000909e-05   1.024722e-05  -1.023762e+02 
  1.200000e+01   1.554710e-06  -4.380850e-06   4.648545e-06  -7.046085e+01 
  1.400000e+01   9.714367e-07   8.096085e-07   1.264577e-06   3.980828e+01 
  1.600000e+01  -2.747031e-06   3.661193e-06   4.577173e-06   1.268813e+02 
  1.800000e+01  -1.690636e-06   4.921220e-06   5.203524e-06   1.089596e+02 
  2.000000e+01   1.093293e-05   7.181938e-06   1.308087e-05   3.330125e+01 
  2.200000e+01   2.569151e-05   1.199775e-05   2.835489e-05   2.503223e+01 
  2.400000e+01   2.608826e-05   1.365121e-05   2.944407e-05   2.762172e+01 
  2.600000e+01   1.466767e-05   7.769680e-06   1.659845e-05   2.791083e+01 
  2.800000e+01   4.617410e-06   1.125293e-06   4.752554e-06   1.369637e+01 
  3.000000e+01   8.888961e-07  -1.464985e-06   1.713569e-06  -5.875225e+01 
  3.200000e+01   1.558260e-06  -1.814629e-06   2.391872e-06  -4.934663e+01 
  3.400000e+01   3.366848e-06  -1.517294e-06   3.692946e-06  -2.425905e+01 
  3.600000e+01   3.620062e-06  -1.213887e-06   3.818163e-06  -1.853745e+01 
  3.800000e+01   2.476578e-06  -5.176752e-07   2.530104e-06  -1.180645e+01 
  4.000000e+01   1.461719e-06   4.774760e-07   1.537728e-06   1.808982e+01 
  4.200000e+01   1.331485e-06   1.443043e-06   1.963473e-06   4.730251e+01 
  4.400000e+01   1.816146e-06   2.411446e-06   3.018851e-06   5.301528e+01 
  4.600000e+01   2.008079e-06   2.131327e-06   2.928299e-06   4.670544e+01 
  4.800000e+01   1.563576e-06   2.955329e-07   1.591260e-06   1.070326e+01 
  5.000000e+01   1.836015e-06  -1.041270e-06   2.110733e-06  -2.955913e+01 
  5.200000e+01   2.315257e-06  -1.455341e-06   2.734672e-06  -3.215294e+01 
  5.400000e+01   1.662994e-06  -8.337523e-07   1.860294e-06  -2.662717e+01 
  5.600000e+01   3.595013e-07   6.281478e-06   6.291757e-06   8.672442e+01 
  5.800000e+01  -5.494268e-07   2.313923e-05   2.314575e-05   9.136020e+01 
  6.000000e+01  -1.346876e-06   3.290799e-05   3.293554e-05   9.234372e+01 
  6.200000e+01  -2.097948e-06   2.108300e-05   2.118712e-05   9.568273e+01 
  6.400000e+01  -1.966182e-06   5.041426e-06   5.411271e-06   1.113060e+02 
  6.600000e+01  -3.249080e-07  -1.975344e-07   3.802434e-07  -1.487016e+02 
  6.800000e+01   2.681570e-07  -2.758178e-07   3.846864e-07  -4.580685e+01 
  7.000000e+01  -1.140221e-06   1.407648e-07   1.148877e-06   1.729622e+02 
  7.200000e+01  -1.618681e-06   8.798658e-08   1.621071e-06   1.768886e+02 
  7.400000e+01  -9.218815e-07  -1.170683e-06   1.490088e-06  -1.282195e+02 
  7.600000e+01  -1.339632e-06  -2.111494e-06   2.500604e-06  -1.223930e+02 
  7.800000e+01  -1.920986e-06  -1.608836e-06   2.505702e-06  -1.400536e+02 
  8.000000e+01  -9.439807e-07  -1.196213e-06   1.523820e-06  -1.282784e+02 
  8.200000e+01   1.065976e-06  -1.292004e-06   1.674987e-06  -5.047545e+01 
  8.400000e+01   2.760974e-06  -4.448194e-07   2.796577e-06  -9.152254e+00 
  8.600000e+01   3.123210e-06   6.744559e-07   3.195205e-06   1.218587e+01 
  8.800000e+01   1.414754e-06   6.659789e-07   1.563668e-06   2.520815e+01 
  9.000000e+01  -8.983108e-07   6.510820e-07   1.109446e-06   1.440660e+02 
  9.200000e+01  -1.274263e-06   1.174712e-06   1.733117e-06   1.373278e+02 
  9.400000e+01   4.001863e-07   1.130633e-06   1.199366e-06   7.050864e+01 
  9.600000e+01   1.971532e-06   4.220300e-07   2.016196e-06   1.208250e+01 
  9.800000e+01   2.688027e-06   4.083463e-08   2.688337e-06   8.703307e-01 
  1.000000e+02   2.316054e-06  -6.949097e-08   2.317097e-06  -1.718589e+00 
  1.020000e+02   1.106060e-06  -1.514744e-07   1.116384e-06  -7.798117e+00 
  1.040000e+02   5.957004e-07   1.736068e-07   6.204824e-07   1.624787e+01 
  1.060000e+02   1.144830e-06   3.369882e-07   1.193397e-06   1.640214e+01 
  1.080000e+02   7.004789e-07   5.195063e-08   7.024027e-07   4.241544e+00 
  1.100000e+02  -3.928812e-07   3.298005e-07   5.129562e-07   1.399885e+02 
  1.120000e+02  -2.995143e-07   4.592341e-07   5.482743e-07   1.231125e+02 
  1.140000e+02   3.716088e-07  -2.267030e-07   4.353014e-07  -3.138563e+01 
  1.160000e+02   1.619982e-07  -2.897756e-08   1.645695e-07  -1.014157e+01 
  1.180000e+02  -2.179016e-08   1.130811e-06   1.131021e-06   9.110392e+01 
  1.200000e+02  -5.843781e-08   1.284733e-06   1.286062e-06   9.260438e+01 
  1.220000e+02  -8.960729e-08   4.501416e-07   4.589737e-07   1.012584e+02 
  1.240000e+02   7.762669e-07   4.368832e-07   8.907621e-07   2.937082e+01 
  1.260000e+02   1.449627e-06   4.695000e-07   1.523761e-06   1.794592e+01 
  1.280000e+02   7.776572e-08  -3.352560e-07   3.441571e-07  -7.694067e+01 
  1.300000e+02  -1.450068e-06  -6.389705e-07   1.584607e-06  -1.562194e+02 
  1.320000e+02  -7.721208e-07  -7.718696e-07   1.091766e-06  -1.350093e+02 
  1.340000e+02   2.510041e-07  -1.590535e-06   1.610219e-06  -8.103205e+01 
  1.360000e+02   3.382968e-07  -7.757740e-07   8.463273e-07  -6.643911e+01 
  1.380000e+02   1.047168e-06   6.785766e-07   1.247809e-06   3.294370e+01 
  1.400000e+02   8.046242e-07  -1.114418e-06   1.374535e-06  -5.417023e+01 
  1.420000e+02   8.940174e-06   1.681681e-06   9.096964e-06   1.065308e+01 
  1.440000e+02   4.918831e-05   5.099664e-05   7.085300e-05   4.603407e+01 
  1.460000e+02   7.018464e-05   1.541007e-04   1.693308e-04   6.551327e+01 
  1.480000e+02   1.707337e-05   1.817003e-04   1.825007e-04   8.463199e+01 
  1.500000e+02  -2.431809e-05   8.724163e-05   9.056750e-05   1.055755e+02 
  1.520000e+02  -1.236674e-05   9.024530e-06   1.530942e-05   1.438802e+02 
  1.540000e+02  -1.848415e-06  -2.709171e-06   3.279672e-06  -1.243050e+02 
  1.560000e+02  -8.114504e-07   1.264650e-07   8.212461e-07   1.711417e+02 
  1.580000e+02  -1.934798e-07  -3.615200e-07   4.100380e-07  -1.181550e+02 
  1.600000e+02  -9.760171e-07  -3.251266e-07   1.028745e-06  -1.615763e+02 
  1.620000e+02   1.526649e-09   4.466380e-07   4.466406e-07   8.980415e+01 
  1.640000e+02   1.354928e-06  -3.226474e-07   1.392814e-06  -1.339432e+01 
  1.660000e+02   1.311955e-06  -7.910972e-07   1.532012e-06  -3.108961e+01 
