System ID,,"4483C1713"
Method name only,,"Tension_Flat_SLOW_DATA_NEW"
Test type,,"Tension"
Sample file name,,"A05D0R"
Last test date,,"Wednesday, April 5, 2023"
Last test time,,"5:59:16 PM"
Course,,"ae461"
Lab Section Number,,"5"
Group,,"D"
Material,,"cf"
Composite Orientation Angle (degrees),,"0"
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Rectangular"
Width,(mm),"23.29"
Thickness,(mm),"2.43"
Specimen Gage Length,(mm),"101.09"
Extensometer Gage Length,(mm),"25.40"
Final Width (mm),,"0.00"
Final Thickness (mm),,"0.00"
Fracture Type and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"42.84"

Time,Displacement,Force,Tensile strain (Strain 1)
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.04427","-0.00002175"
"0.50","0.03","0.4146","0.00002971"
"1.00","0.07","0.8220","0.0001435"
"1.50","0.10","1.222","0.0002584"
"2.00","0.13","1.614","0.0003710"
"2.50","0.17","1.989","0.0004780"
"3.00","0.20","2.338","0.0005815"
"3.50","0.23","2.653","0.0006833"
"4.00","0.27","2.940","0.0007408"
"4.50","0.30","3.189","0.0008348"
"5.00","0.33","3.370","0.0008754"
"5.50","0.37","3.511","0.0009144"
"6.00","0.40","3.645","0.0009727"
"6.50","0.43","3.797","0.001008"
"7.00","0.47","3.946","0.001054"
"7.50","0.50","4.097","0.001096"
"8.00","0.53","4.245","0.001139"
"8.50","0.57","4.388","0.001174"
"9.00","0.60","4.515","0.001230"
"9.50","0.63","4.651","0.001261"
"10.00","0.67","4.782","0.001295"
"10.50","0.70","4.915","0.001332"
"11.00","0.73","5.030","0.001360"
"11.50","0.77","5.143","0.001399"
"12.00","0.80","5.238","0.001459"
"12.50","0.83","5.352","0.001474"
"13.00","0.87","5.467","0.001495"
"13.50","0.90","5.584","0.001519"
"14.00","0.93","5.691","0.001553"
"14.50","0.97","5.801","0.001592"
"15.00","1.00","5.910","0.001610"
"15.50","1.03","6.018","0.001637"
"16.00","1.07","6.130","0.001670"
"16.50","1.10","6.243","0.001700"
"17.00","1.13","6.357","0.001728"
"17.50","1.17","6.470","0.001769"
"18.00","1.20","6.579","0.001796"
"18.50","1.23","6.691","0.001822"
"19.00","1.27","6.804","0.001858"
"19.50","1.30","6.916","0.001892"
"20.00","1.33","7.026","0.001916"
"20.50","1.37","7.140","0.001949"
"21.00","1.40","7.219","0.002051"
"21.50","1.43","7.346","0.002031"
"22.00","1.47","7.459","0.002050"
"22.50","1.50","7.571","0.002078"
"23.00","1.53","7.687","0.002106"
"23.50","1.57","7.804","0.002142"
"24.00","1.60","7.920","0.002172"
"24.50","1.63","8.035","0.002202"
"25.00","1.67","8.151","0.002236"
"25.50","1.70","8.269","0.002266"
"26.00","1.73","8.387","0.002299"
"26.50","1.77","8.505","0.002333"
"27.00","1.80","8.620","0.002369"
"27.50","1.83","8.740","0.002400"
"28.00","1.87","8.859","0.002430"
"28.50","1.90","8.981","0.002466"
"29.00","1.93","9.101","0.002502"
"29.50","1.97","9.220","0.002531"
"30.00","2.00","9.340","0.002568"
"30.50","2.03","9.461","0.002597"
"31.00","2.07","9.583","0.002638"
"31.50","2.10","9.704","0.002657"
"32.00","2.13","9.824","0.002692"
"32.50","2.17","9.946","0.002723"
"33.00","2.20","10.07","0.002758"
"33.50","2.23","10.19","0.002799"
"34.00","2.27","10.32","0.002823"
"34.50","2.30","10.44","0.002864"
"35.00","2.33","10.57","0.002897"
"35.50","2.37","10.70","0.002937"
"36.00","2.40","10.82","0.002974"
"36.50","2.43","10.95","0.003007"
"37.00","2.47","11.08","0.003040"
"37.50","2.50","11.21","0.003071"
"38.00","2.53","11.33","0.003101"
"38.50","2.57","11.46","0.003137"
"39.00","2.60","11.59","0.003173"
"39.50","2.63","11.72","0.003208"
"40.00","2.67","11.85","0.003237"
"40.50","2.70","11.98","0.003274"
"41.00","2.73","12.12","0.003306"
"41.50","2.77","12.25","0.003344"
"42.00","2.80","12.38","0.003382"
"42.50","2.83","12.52","0.003407"
"43.00","2.87","12.65","0.003453"
"43.50","2.90","12.79","0.003488"
"44.00","2.93","12.92","0.003516"
"44.50","2.97","13.06","0.003562"
"45.00","3.00","13.20","0.003590"
"45.50","3.03","13.33","0.003627"
"46.00","3.07","13.47","0.003661"
"46.50","3.10","13.60","0.003705"
"47.00","3.13","13.74","0.003747"
"47.50","3.17","13.88","0.003790"
"48.00","3.20","14.02","0.003828"
"48.50","3.23","14.16","0.003860"
"49.00","3.27","14.29","0.003906"
"49.50","3.30","14.44","0.003942"
"50.00","3.33","14.58","0.003972"
"50.50","3.37","14.72","0.004006"
"51.00","3.40","14.86","0.004040"
"51.50","3.43","15.01","0.004087"
"52.00","3.47","15.15","0.004112"
"52.50","3.50","15.29","0.004153"
"53.00","3.53","15.44","0.004190"
"53.50","3.57","15.59","0.004221"
"54.00","3.60","15.73","0.004270"
"54.50","3.63","15.87","0.004312"
"55.00","3.67","16.02","0.004348"
"55.50","3.70","16.17","0.004383"
"56.00","3.73","16.31","0.004418"
"56.50","3.77","16.46","0.004461"
"57.00","3.80","16.60","0.004494"
"57.50","3.83","16.75","0.004538"
"58.00","3.87","16.90","0.004575"
"58.50","3.90","17.02","0.004640"
"59.00","3.93","17.12","0.003507"
"59.50","3.97","17.29","0.003525"
"60.00","4.00","17.44","0.003572"
"60.50","4.03","17.59","0.003603"
"61.00","4.07","17.74","0.003639"
"61.50","4.10","17.89","0.003678"
"62.00","4.13","18.04","0.003710"
"62.50","4.17","18.19","0.003753"
"63.00","4.20","18.34","0.003797"
"63.50","4.23","18.49","0.003828"
"64.00","4.27","18.64","0.003874"
"64.50","4.30","18.79","0.003900"
"65.00","4.33","18.94","0.003946"
"65.50","4.37","19.09","0.003981"
"66.00","4.40","19.23","0.004013"
"66.50","4.43","19.37","0.004045"
"67.00","4.47","19.35","0.00005167"
"67.50","4.50","19.58","0.0003145"
"68.00","4.53","19.44","-0.01887"
"68.50","4.57","19.68","-0.01881"
"69.00","4.60","19.85","-0.01877"
"69.50","4.63","20.01","-0.01872"
"70.00","4.67","20.17","-0.01869"
"70.50","4.70","20.34","-0.01863"
"71.00","4.73","20.50","-0.01860"
"71.50","4.77","20.66","-0.01855"
"72.00","4.80","20.83","-0.01851"
"72.50","4.83","20.99","-0.01847"
"73.00","4.87","21.14","-0.01845"
