System ID,,"4483C1713"
Method name only,,"Tension_Flat_SLOW_DATA_NEW"
Test type,,"Tension"
Sample file name,,"A05D90R"
Last test date,,"Wednesday, April 5, 2023"
Last test time,,"5:41:22 PM"
Course,,"ae461"
Lab Section Number,,"5"
Group,,"D"
Material,,"cf"
Composite Orientation Angle (degrees),,"90"
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Rectangular"
Width,(mm),"24.39"
Thickness,(mm),"2.80"
Specimen Gage Length,(mm),"100.58"
Extensometer Gage Length,(mm),"25.40"
Final Width (mm),,"0.00"
Final Thickness (mm),,"0.00"
Fracture Type and Location,,"At top by clamp"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"1.671"

Time,Displacement,Force,Tensile strain (Strain 1)
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.04557","0.00001853"
"0.50","0.03","0.05535","-0.0001062"
"1.00","0.07","0.1692","0.0001281"
"1.50","0.10","0.2833","0.0003918"
"2.00","0.13","0.3973","0.0005761"
"2.50","0.17","0.5089","0.0008161"
"3.00","0.20","0.6177","0.0009905"
"3.50","0.23","0.7252","0.001166"
"4.00","0.27","0.8307","0.001348"
"4.50","0.30","0.9360","0.001546"
"5.00","0.33","1.037","0.001736"
"5.50","0.37","1.137","0.002002"
"6.00","0.40","1.233","0.002214"
"6.50","0.43","1.327","0.002398"
"7.00","0.47","1.420","0.002600"
"7.50","0.50","1.509","0.002786"
"8.00","0.53","1.593","0.002996"
"8.50","0.57","1.671","0.003178"
"9.00","0.60","0.0006171","-0.006493"
"9.50","0.63","0.001986","-0.006547"
"10.00","0.67","0.001927","-0.006554"
"10.50","0.70","0.001857","-0.006558"
"11.00","0.73","0.002007","-0.006559"
"11.50","0.77","0.002083","-0.006549"
"12.00","0.80","0.002169","-0.006553"
"12.50","0.83","0.002213","-0.006554"
"13.00","0.87","0.001786","-0.006550"
"13.50","0.90","0.002867","-0.006550"
"14.00","0.93","0.002074","-0.006552"
"14.50","0.97","0.002326","-0.006555"
"15.00","1.00","0.002346","-0.006556"
"15.50","1.03","0.002183","-0.006560"
"16.00","1.07","0.002356","-0.006554"
"16.50","1.10","0.001570","-0.006558"
"17.00","1.13","0.002391","-0.006559"
"17.50","1.17","0.002270","-0.006569"
"18.00","1.20","0.002356","-0.006564"
"18.50","1.23","0.002095","-0.006558"
"19.00","1.27","0.002381","-0.006564"
"19.50","1.30","0.002673","-0.006561"
"20.00","1.33","0.001892","-0.006561"
"20.50","1.37","0.002163","-0.006563"
"21.00","1.40","0.002169","-0.006559"
"21.50","1.43","0.002226","-0.006565"
"22.00","1.47","0.001693","-0.006567"
"22.50","1.50","0.001597","-0.006567"
"23.00","1.53","0.002102","-0.006560"
"23.50","1.57","0.002228","-0.006570"
"24.00","1.60","0.001705","-0.006570"
"24.50","1.63","0.001892","-0.006563"
"25.00","1.67","0.001970","-0.006562"
"25.50","1.70","0.001943","-0.006563"
"26.00","1.73","0.002278","-0.006558"
"26.50","1.77","0.002527","-0.006568"
"27.00","1.80","0.002278","-0.006568"
"27.50","1.83","0.002326","-0.006565"
"28.00","1.87","0.002673","-0.006568"
"28.50","1.90","0.002551","-0.006559"
"29.00","1.93","0.002456","-0.006564"
"29.50","1.97","0.002608","-0.006560"
"30.00","2.00","0.002355","-0.006568"
"30.50","2.03","0.002370","-0.006568"
"30.74","2.05","0.002208","-0.006569"

